id,position_en,position_de,position_short_en,position_short_de
0,No public statement of support recorded,Kein öffentliches Statement für die Verhandlung eines neuen Abkommens zum Stopp der Plastiverschmutzung bekannt,No public statement of support recorded,Kein Statement für Abkommen bekannt
1,Publicly expressed willingness to explore the option of a new global agreement on plastic pollution,"Öffentlich Bereitschaft erklärt, die Option eines neuen weltweiten Abkommens zum Stopp der Plastikverschmutzung zu prüfen",Agreed to consider option of agreement,"Bereitschaft, Abkommen zu prüfen"
2,Publicly called for the negotiation of a new global agreement on plastic pollution,Öffentlich für Verhandlungen über ein neues weltweites Abkommen zum Stopp der Plastikverschmutzung ausgesprochen,Publicly called for new agreement,Öffentlich für Abkommen ausgesprochen
3,Publicly called for agreement _and_ co-sponsored the draft resolution by Peru and Rwanda,Co-Sponsor des Resolutionsentwurfs von Peru und Ruanda,Co-sponsored the draft resolution by Peru and Rwanda,Co-Sponsor des Resolutionsentwurfs von Peru und Ruanda
4,Adopted UNEA-5.2 Resolution to start negotiating a legally binding global agreement,"UNEA-5.2 Resolution angenommen, um mit der Verhandlung eines weltweiten Abkommens zu beginnen",Adopted UNEA-5.2 Resolution,UNEA-5.2 Resolution angenommen
