topic_id,position_id,position_en,position_short_en,position_de,position_short_de
GRADUAL,-1,"Have not expressed support for support for mechanisms to strengthen the treaty over time, in latest statement on the topic",No support recorded in latest statement,"Keine Unterstützung für ""Gradual Strengthening"" in jüngster Erklärung zum Thema",Keine Unterstützung in jüngster Erklärung
GRADUAL,0,"Have not expressed support for support for mechanisms to strengthen the treaty over time, in latest statement on the topic",No support recorded in latest statement,"Keine Unterstützung für ""Gradual Strengthening"" in jüngster Erklärung zum Thema",Keine Unterstützung in jüngster Erklärung
GRADUAL,1,Supported mechanisms to strengthen the treaty over time in latest statement on the topic,Supported mechanisms to strengthen the treaty over time,"{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Gradual Strengthening"" in jüngster Erklärung zum Thema","{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Gradual Strengthening"""
GRADUAL,2,Supported mechanisms to strengthen the treaty over time in latest statement on the topic,Supported mechanisms to strengthen the treaty over time,"{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Gradual Strengthening"" in jüngster Erklärung zum Thema","{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Gradual Strengthening"""
GRADUAL,3,Called for mechanisms to strengthen the treaty over time in latest statement on the topic,Called for mechanisms to strengthen the treaty over time,"{isSingle, select, true {Fordert} false {Fordern}} ""Gradual Strengthening"" in jüngster Erklärung zum Thema","{isSingle, select, true {Fordert} false {Fordern}} ""Gradual Strengthening"""
GRADUAL,4,Called for mechanisms to strengthen the treaty over time in latest statement on the topic,Called for mechanisms to strengthen the treaty over time,"{isSingle, select, true {Fordert} false {Fordern}} ""Gradual Strengthening"" in jüngster Erklärung zum Thema","{isSingle, select, true {Fordert} false {Fordern}} ""Gradual Strengthening"""
10,0,Have not expressed support for any of the four must-haves in the treaty,No support recorded,"Keine Unterstützung für ""Must-haves"" in jüngster Erklärung zum Thema",Keine Unterstützung in jüngster Erklärung
10,1,Supported some of the four must-haves in the treaty to end plastic pollution,Supported some of the four must-haves,"{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Must-haves"" in jüngster Erklärung zum Thema","{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Must-haves"""
10,2,Supported all four must-haves in the treaty to end plastic pollution,Supported all four must-haves in the treaty,"{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Must-haves"" in jüngster Erklärung zum Thema","{isSingle, select, true {Unterstützt} false {Unterstützen}} ""Must-haves"""
10,3,Called for all four must-haves in the treaty to end plastic pollution,Called for all four must-haves in the treaty,"{isSingle, select, true {Fordert} false {Fordern}} ""Must-haves"" in jüngster Erklärung zum Thema","{isSingle, select, true {Fordert} false {Fordern}} ""Must-haves"""
